City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Richards Bay,ZA,-28.783,32.0377,71.65,65,0,6.91,clear sky
132,Poya,NC,-21.35,165.15,73.6,87,3,3.78,clear sky
133,Ternate,ID,0.8,127.4,81.72,78,92,2.35,overcast clouds
134,Westport,US,41.1415,-73.3579,58.01,95,100,9.22,overcast clouds
135,Yulara,AU,-25.2406,130.9889,55.63,64,3,10.36,clear sky
136,Cumra,TR,37.5732,32.7745,48.34,61,97,10.6,overcast clouds
137,Vostok,RU,46.4856,135.8833,45.93,87,100,5.64,light rain
138,Aklavik,CA,68.2191,-135.0107,30.2,80,100,2.3,overcast clouds
139,Alofi,NU,-19.0595,-169.9187,75.09,88,78,11.5,broken clouds
140,Ilulissat,GL,69.2167,-51.1,31.15,56,0,3.8,clear sky
141,Kawalu,ID,-7.3817,108.2082,74.16,95,95,1.12,overcast clouds
142,New Norfolk,AU,-42.7826,147.0587,48.92,72,8,2.8,clear sky
143,Ancud,CL,-41.8697,-73.8203,53.17,80,98,15.01,overcast clouds
144,Ribeira Grande,PT,38.5167,-28.7,66.6,59,20,16.11,few clouds
145,Haifa,IL,32.8156,34.9892,70.74,80,0,5.75,clear sky
146,Jinxiang,CN,27.4327,120.6062,65.75,90,94,6.71,overcast clouds
147,Hovd,MN,48.0056,91.6419,65.07,25,3,4.85,clear sky
148,Linxia,CN,35.6003,103.2064,57.33,51,100,4.41,overcast clouds
149,Port Lincoln,AU,-34.7333,135.8667,58.46,62,1,15.21,clear sky
150,Jardim,BR,-21.4803,-56.1381,67.82,42,6,2.37,clear sky
151,Constitucion,CL,-35.3333,-72.4167,58.84,77,71,16.37,broken clouds
152,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,8.05,scattered clouds
153,Cockburn Town,TC,21.4612,-71.1419,80.96,83,40,14.0,scattered clouds
154,Pozo Colorado,PY,-23.4923,-58.7972,66.54,43,0,4.05,clear sky
155,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,16.11,broken clouds
156,Caravelas,BR,-17.7125,-39.2481,78.03,25,80,10.0,broken clouds
157,San Patricio,US,28.017,-97.5169,87.66,46,16,18.01,few clouds
158,Dunedin,NZ,-45.8742,170.5036,48.79,50,11,1.99,few clouds
159,Muzhi,RU,65.3667,64.6667,39.81,74,100,15.88,overcast clouds
160,Amapa,BR,1.0,-52.0,76.84,96,100,3.91,overcast clouds
161,Dinan,FR,48.4167,-2.25,66.74,60,85,7.94,overcast clouds
162,Leshukonskoye,RU,64.8989,45.7622,41.79,62,100,10.42,overcast clouds
163,Vaini,TO,-21.2,-175.2,73.56,88,40,6.91,scattered clouds
164,Carnarvon,AU,-24.8667,113.6333,71.37,65,20,12.57,few clouds
165,Vao,NC,-22.6667,167.4833,74.97,81,84,18.16,broken clouds
166,Airai,TL,-8.9266,125.4092,58.69,90,20,3.65,few clouds
167,Fortuna,US,40.5982,-124.1573,55.92,80,75,17.27,broken clouds
168,Muros,ES,42.7762,-9.0603,75.69,67,94,9.64,overcast clouds
169,Saint-Augustin,CA,51.226,-58.6502,46.89,67,100,16.06,overcast clouds
170,Thompson,CA,55.7435,-97.8558,39.36,48,40,12.66,scattered clouds
171,Chokurdakh,RU,70.6333,147.9167,30.34,95,100,7.2,overcast clouds
172,Matviyivka,UA,47.0747,35.1444,58.46,61,67,14.09,broken clouds
173,Severo-Kurilsk,RU,50.6789,156.125,42.12,88,90,2.33,overcast clouds
174,Shitanjing,CN,39.2342,106.3439,62.78,32,15,1.92,few clouds
175,Cascais,PT,38.6979,-9.4215,82.62,63,0,13.8,clear sky
176,Morgan City,US,29.6994,-91.2068,87.03,74,20,9.22,few clouds
177,Ulladulla,AU,-35.35,150.4667,50.65,78,92,8.16,overcast clouds
178,Varna,BG,43.2167,27.9167,61.88,79,80,14.97,broken clouds
179,Tsaratanana,MG,-16.7833,47.65,69.17,73,73,9.95,broken clouds
180,Mecca,SA,21.4267,39.8261,94.42,24,0,7.18,clear sky
181,Nambucca Heads,AU,-30.65,153.0,60.8,82,100,8.1,overcast clouds
182,Tasiilaq,GL,65.6145,-37.6368,37.56,83,100,1.43,overcast clouds
183,Rio Grande,BR,-32.035,-52.0986,60.91,67,64,13.42,broken clouds
184,Acapulco,MX,16.8634,-99.8901,84.02,65,0,6.91,clear sky
185,Camacha,PT,33.0833,-16.3333,67.42,78,40,8.05,scattered clouds
186,Lata,PT,40.1629,-8.3327,78.93,32,86,9.64,overcast clouds
187,Odweyne,SO,9.4092,45.064,85.53,34,97,5.01,overcast clouds
188,Luderitz,NA,-26.6481,15.1594,59.74,67,95,15.17,overcast clouds
189,Gerash,IR,27.6652,54.1371,96.94,9,0,14.88,clear sky
190,Rajbiraj,NP,26.5333,86.75,83.98,58,5,14.2,clear sky
191,Martapura,ID,-3.4167,114.85,77.09,100,100,3.44,mist
192,Nara,JP,34.6851,135.8049,65.5,47,100,1.81,overcast clouds
193,Hami,CN,42.8,93.45,77.36,13,6,3.15,clear sky
194,Bunia,CD,1.5667,30.25,73.38,60,92,4.52,overcast clouds
195,Brownsville,US,25.9018,-97.4975,87.8,64,75,19.57,broken clouds
196,Midland,US,31.9974,-102.0779,95.81,16,0,14.97,clear sky
197,Portland,US,45.5234,-122.6762,52.0,75,100,8.05,overcast clouds
